username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JayHarvie;2017-09-24 01:28;0;2;"We deserved a point from that. Superb game in the end. Spurs impressive as the time wasting specialists. #WHUTOT";;;#WHUTOT;"911734027211595777";https://twitter.com/JayHarvie/status/911734027211595777
HotspurAmerica;2017-09-24 01:12;0;11;"@SpursOfficial getting their 5th straight road victory in the @premierleague with their 3-2 victory over West Ham #COYS #WHUTOT pic.twitter.com/z9DrFFDYTs";;@SpursOfficial @premierleague;#COYS #WHUTOT;"911730029968740356";https://twitter.com/HotspurAmerica/status/911730029968740356
Ossie66;2017-09-24 01:01;0;0;"@BBCMOTD #WHUTOT amazing to here nothing mentioned about west ham again all spurs during analysis. So biased";;@BBCMOTD;#WHUTOT;"911727297501302784";https://twitter.com/Ossie66/status/911727297501302784
Rooor5151;2017-09-24 00:58;0;0;"ستظل شامخًا يا وطني بقيادتك الحكيمة وبشعبك الوفي #LOVE_U_KSA #اليوم_الوطني_السعودي_٨٧ pic.twitter.com/3eE7NXxjwy #WHUTOT #انت_يا_وطني_انا";;;#LOVE_U_KSA # #WHUTOT #;"911726604837060609";https://twitter.com/Rooor5151/status/911726604837060609
FPL_simon432;2017-09-24 00:40;0;2;"Overheard on the terraces: Delle Alli? He's just a poor man's Mark Noble! #WHUTOT";;;#WHUTOT;"911721994030403585";https://twitter.com/FPL_simon432/status/911721994030403585
Lisa_CMN;2017-09-24 00:24;0;0;"watching #itvnews why is Harry Kane news? #WHUTOT I knew he would score before the game";;;#itvnews #WHUTOT;"911717977531277313";https://twitter.com/Lisa_CMN/status/911717977531277313
Ladidairo;2017-09-24 00:22;0;0;"Handbags @LondonStadium #WHUTOT #MOTD";;@LondonStadium;#WHUTOT #MOTD;"911717349996335104";https://twitter.com/Ladidairo/status/911717349996335104
thatsagoal;2017-09-24 00:15;1;0;"West ham vs Tottenham predictions and betting tips! 21/20, 13/2 and 5/4 bets http://www. thatsagoal.com/west-ham-vs-to ttenham-predictions-betting-tips-preview-premier-league/ … #WHUFC #COYS #WHUTOT";;;#WHUFC #COYS #WHUTOT;"911715579756761088";https://twitter.com/thatsagoal/status/911715579756761088
ZeroMark30;2017-09-24 00:12;0;2;"‘Hey guys, remember me!?’ -Joe Hart’s involvement in that scuffle. #WHUTOT #WHUFC #MOTD";;;#WHUTOT #WHUFC #MOTD;"911714930260414472";https://twitter.com/ZeroMark30/status/911714930260414472
1607WestEgg;2017-09-24 00:07;1;0;"Pochettino debuting new hair colouring today. #WHUTOT";;;#WHUTOT;"911713774566100993";https://twitter.com/1607WestEgg/status/911713774566100993
Schnuckms;2017-09-24 00:05;0;0;"I bet you had nervy moments towards the end of the match #WHUTOT #motd @iamths1973";;@iamths1973;#WHUTOT #motd;"911713206703464451";https://twitter.com/Schnuckms/status/911713206703464451
L1amclark21;2017-09-24 00:05;0;0;"That was a great London derby! #WHUTOT #MOTD";;;#WHUTOT #MOTD;"911713115884195840";https://twitter.com/L1amclark21/status/911713115884195840
jonhotspur88;2017-09-24 00:05;0;0;"Hahahahaha!! Noble claiming penalties. Lemons. #WHUTOT @BBCMOTD";;@BBCMOTD;#WHUTOT;"911713075727880192";https://twitter.com/jonhotspur88/status/911713075727880192
petebestuk;2017-09-24 00:04;0;1;"#Handbags #WHUTOT";;;#Handbags #WHUTOT;"911712927866114048";https://twitter.com/petebestuk/status/911712927866114048
jonhotspur88;2017-09-24 00:04;0;0;"Still baffled how Llorente has been booked there?! #WHUTOT @BBCMOTD";;@BBCMOTD;#WHUTOT;"911712921029349376";https://twitter.com/jonhotspur88/status/911712921029349376
Khan77465699;2017-09-24 00:04;0;0;"https:// youtu.be/JibPAFJmqF8 Jacqueline Fernandez show her hot cleavage at ambani party #Judwaa2 #WHUTOT #JaiLavaKusa #भाजपा_का_महंगा_विकास";;;#Judwaa2 #WHUTOT #JaiLavaKusa #;"911712833297047552";https://twitter.com/Khan77465699/status/911712833297047552
KevonMiller85;2017-09-24 00:04;0;0;"That was some Skrtel-esk header. BAM!!! #WHUTOT #MOTD";;;#WHUTOT #MOTD;"911712789592408066";https://twitter.com/KevonMiller85/status/911712789592408066
dazzawalker;2017-09-24 00:03;0;2;"I love that West Ham are so poor these days. Them and Palace to go down will do me nicely #WHUTOT";;;#WHUTOT;"911712550471000065";https://twitter.com/dazzawalker/status/911712550471000065
G2theb4;2017-09-24 00:00;0;0;"@WestHamUtd your transfer window is a bit like an @AldiUK shop... went with good intentions came out with utter crap! #WHUTOT #MOTD #WHU";;@WestHamUtd @AldiUK;#WHUTOT #MOTD #WHU;"911712007535104001";https://twitter.com/G2theb4/status/911712007535104001
TopCornerMag;2017-09-24 00:00;0;0;"Is Hernandez the best poacher in the league? #WHUTOT #MOTD";;;#WHUTOT #MOTD;"911711887338999809";https://twitter.com/TopCornerMag/status/911711887338999809
r0ssr0wens;2017-09-23 23:58;0;1;"Harry Kane is fucking lethal. What a boy. #motd #WHUTOT";;;#motd #WHUTOT;"911711518202396673";https://twitter.com/r0ssr0wens/status/911711518202396673
BDDunbar;2017-09-23 23:58;0;0;"Think #Kane 's 1st goal should be offside as Kane gets a clear advantage from being offside when the ball is played wide. #WHUTOT #MOTD #thfc";;;#Kane #WHUTOT #MOTD #thfc;"911711433364262912";https://twitter.com/BDDunbar/status/911711433364262912
inb63;2017-09-23 23:57;0;2;"#WHUTOT 2-3 #motd pic.twitter.com/DT4yqtAdbD";;;#WHUTOT #motd;"911711184100970498";https://twitter.com/inb63/status/911711184100970498
NeilBonnarBN;2017-09-23 23:57;0;0;"Why do west Ham hate Spurs? #WHUTOT";;;#WHUTOT;"911711143290339328";https://twitter.com/NeilBonnarBN/status/911711143290339328
Glavlar;2017-09-23 23:56;0;1;"Photo of the day. #COYS #MOTD #WHUTOT pic.twitter.com/VgiOEfTUli";;;#COYS #MOTD #WHUTOT;"911710776750149632";https://twitter.com/Glavlar/status/911710776750149632
GitcheGumme44;2017-09-23 23:50;0;0;"Danke @DAZN_DE jetzt 5 Spiele vom Tag aus der #BPL schauen. #SOUMUN #WHUTOT #MCICRY #STKCHE #LEILIV + #J1League #KOBKAW #DAZN";;@DAZN_DE;#BPL #SOUMUN #WHUTOT #MCICRY #STKCHE #LEILIV #J1League #KOBKAW #DAZN;"911709320311660544";https://twitter.com/GitcheGumme44/status/911709320311660544
IndoSpurs_Mksr;2017-09-23 23:44;0;1;"#DOKUMENTASI #NONBARISMKS #WHUTOT #PL #WARKOPBASODAENG (23 SEPTEMBER 2017) #SALAM3POIN . #COYS pic.twitter.com/RL9Cq7rOUC pic.twitter.com/DDq8LpEP1e";;;#DOKUMENTASI #NONBARISMKS #WHUTOT #PL #WARKOPBASODAENG #SALAM3POIN #COYS;"911707767819218944";https://twitter.com/IndoSpurs_Mksr/status/911707767819218944
NsQuared_I;2017-09-23 23:40;2;6;"New Joint! #GCFest #RedBullCultureClash #TrapaDrive #XFactor #WHUTOT #musically https:// soundcloud.com/user-807706582 /nsquared-closer …";;;#GCFest #RedBullCultureClash #TrapaDrive #XFactor #WHUTOT #musically;"911706820154204162";https://twitter.com/NsQuared_I/status/911706820154204162
rosieemaguire;2017-09-23 23:32;0;1;"BUT still a great (incredibly stressful) win today. #COYS #WHUTOT";;;#COYS #WHUTOT;"911704829155774470";https://twitter.com/rosieemaguire/status/911704829155774470
Arief2811;2017-09-23 23:28;0;0;"#DXPLOR .net Jangan tertarik ke http:// arief8360.m.humandesignindonesia.com/arief8360/siap a-yang-bersabar-pasti-akan-beruntung.htm … #WHUTOT";;;#DXPLOR #WHUTOT;"911703906765475842";https://twitter.com/Arief2811/status/911703906765475842
TheSportsDean;2017-09-23 23:25;0;0;"Is that poop on Noble's shorts... #WHUTOT https:// twitter.com/thfcnostalgia/ status/911679051886219264 …";;;#WHUTOT;"911703023449202689";https://twitter.com/TheSportsDean/status/911703023449202689
amii09_;2017-09-23 23:20;0;0;"#ArvindSubramanian #WHUTOT #제_그림과_성격에_갭이_있나요 https:// youtu.be/C7SfiLik4go pic.twitter.com/nKudfifstI";;;#ArvindSubramanian #WHUTOT #;"911701779678720001";https://twitter.com/amii09_/status/911701779678720001
WeLoveGoals_;2017-09-23 23:14;0;1;"WE LOVE GOALS FOOTBALL BETTING TIPS #WHUTOT #STKCHE #SOUMUN #MCICRY #LEILIV #PL #JuveTorino http:// welovegoals.com";;;#WHUTOT #STKCHE #SOUMUN #MCICRY #LEILIV #PL #JuveTorino;"911700208538537984";https://twitter.com/WeLoveGoals_/status/911700208538537984
JK_CFC3;2017-09-23 23:11;0;0;"#PremierLeague Review. Spurs 3-2 West Ham. Nice to see refs also send off players not wearing Chelsea shirts. Good game #WHUTOT";;;#PremierLeague #WHUTOT;"911699491820105728";https://twitter.com/JK_CFC3/status/911699491820105728
georgiebhoy36;2017-09-23 23:06;0;1;"Patiently waiting on #WHUTOT on #SkySportsPL at 11pm #coys";;;#WHUTOT #SkySportsPL #coys;"911698243997888512";https://twitter.com/georgiebhoy36/status/911698243997888512
Chronixlive;2017-09-23 23:04;0;0;"Westham United players should cross the ball to shirt 17 if you want to #Kugikwatako spurs. #WHUTOT #BPL";;;#Kugikwatako #WHUTOT #BPL;"911697718111883265";https://twitter.com/Chronixlive/status/911697718111883265
hendrik70785977;2017-09-23 22:55;0;1;"#WHUTOT Sometimes the person you want most is the person you’re better off without. #NetworkNumberOne .com #henris926";;;#WHUTOT #NetworkNumberOne #henris926;"911695533856645120";https://twitter.com/hendrik70785977/status/911695533856645120
FootballVoices;2017-09-23 22:35;4;4;"#FVCallUps "He’s one of our own, that’s what I can say" @MichaelTedeku99 @OfficialChipy #THFC #WHUTOT #MOTD pic.twitter.com/6Gug5rd0Ak";;@MichaelTedeku99 @OfficialChipy;#FVCallUps #THFC #WHUTOT #MOTD;"911690386531323904";https://twitter.com/FootballVoices/status/911690386531323904
mostreytom;2017-09-23 22:31;1;10;"Conclusie na #wbeand ? (En ook na alle andere matchen) Onze arbiters zijn idioten en onze spelers jeanetten! Na #WHUTOT te hebben gezien.";;;#wbeand #WHUTOT;"911689558047281153";https://twitter.com/mostreytom/status/911689558047281153
